nftName,txHash,slug,totalCost,price,floorAtLogging,contract,uniqueContractIdentifierID,transactionType,transDate
The Association NFT#2591,0xeea0fb35f1d40453cb8b2d78515d69b5243e138841aa6047c2b53f091d464b75,the-association-nft,0.02969,0.0,0.0179999999999,0x9b8b9c7C02be0bD0AA4D669bF6a1f6003424c6Dc,0x9b8b9c7c02be0bd0aa4d669bf6a1f6003424c6dc?a=2591,mint,2022-04-20
Flappy Boys#2097,0xc296331d067ed984192e7c0912552517be44d0b49cd27b60595724690fdde77e,flappyboys,0.10727,0.1,0.03,0x5f75b17a44625F8814FeA5b30FECd3d6aB510BB0,0x5f75b17a44625f8814fea5b30fecd3d6ab510bb0?a=2097,transfer,2022-04-19
BoredApeYachtClub#1847,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1847,mint,2021-05-01
BoredApeYachtClub#1848,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1848,mint,2021-05-01
BoredApeYachtClub#1849,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1849,mint,2021-05-01
BoredApeYachtClub#1850,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1850,mint,2021-05-01
BoredApeYachtClub#1851,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1851,mint,2021-05-01
BoredApeYachtClub#1852,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1852,mint,2021-05-01
BoredApeYachtClub#1853,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1853,mint,2021-05-01
BoredApeYachtClub#1854,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1854,mint,2021-05-01
BoredApeYachtClub#1855,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1855,mint,2021-05-01
BoredApeYachtClub#1856,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1856,mint,2021-05-01
BoredApeYachtClub#1857,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1857,mint,2021-05-01
BoredApeYachtClub#1858,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1858,mint,2021-05-01
BoredApeYachtClub#1859,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1859,mint,2021-05-01
BoredApeYachtClub#1860,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1860,mint,2021-05-01
BoredApeYachtClub#1861,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1861,mint,2021-05-01
BoredApeYachtClub#1862,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1862,mint,2021-05-01
BoredApeYachtClub#1863,0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,boredapeyachtclub,0.086476,0.08,107.9,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1863,mint,2021-05-01
